Country/Region (Full Name),Amt Issued (EUR) Labelled,Amt Issued (EUR) Unlabelled
Germany,49273538698.39371,214571615688.97687
France,62196889991.91053,167567155435.17834
Netherlands,50674280488.28923,107763518150.66968
Britain,52119202489.80624,42709969858.70116
Italy,24943518893.5426,59313375318.26759
Spain,24229537350.411934,56476140824.78023
Sweden,11356675550.37511,58369827789.84674
Norway,15371368562.617943,39823908034.24311
Belgium,18429995102.8674,14770322169.19041
Denmark,6476152335.803379,25665107778.53086
Ireland,13788771804.667006,15804539513.04828
Austria,12286650110.53528,16479604299.258987
Luxembourg,11990523293.597828,13946884848.359186
Finland,6157149813.595986,16715413761.679018
Switzerland,7597244774.244029,7315291089.151747
Hungary,4781747860.510885,4599152438.760989
Portugal,1312117779.7210846,6445169604.639389
Poland,1345878059.557233,5140504920.145441
Romania,2190656528.973167,1226812153.5416763
Iceland,1566514376.2185302,1522286916.7395408
Greece,2293921019.9291205,153826114.97215447
Czech,1438107884.1993833,938378515.211488
Slovakia,505283785.1521149,1315844341.1423576
Jersey,1512774428.130897,0.0
Serbia,1081060431.7209003,0.0
Russia,876213006.8578267,0.0
Lithuania,503660453.35297096,324014360.01288724
Ukraine,759423758.4572191,0.0
Liechtenstein,651939061.9965942,0.0
Slovenia,504390850.09435266,0.0
Guernsey,433510378.7913656,0.0
Croatia,399488194.4124822,0.0
Latvia,128921618.26299076,201622405.30215862
Malta,24845353.707368713,0.0
