"country","NaturalDisasterRiskWorldRiskIndexTotal2023","NaturalDisasterRiskExposure","NaturalDisasterRiskVulnerablity","NaturalDisasterRiskSusceptibility","NaturalDisasterRiskLackOfAdaptiveCapacities","NaturalDisasterRiskLackOfCopingCapacities"
"India",41.52,35.99,47.89,37.79,52.04,55.86
"China",27.1,64.59,11.37,14.75,8.63,11.54
"United States",22.47,39.59,12.75,11.16,32.54,5.71
"Indonesia",43.5,39.89,47.43,45.46,46.38,50.59
"Pakistan",26.45,13.11,53.38,40.23,62.06,60.92
"Nigeria",9.17,1.32,63.74,57.49,68.06,66.17
"Brazil",13.47,6.37,28.47,36.84,50.63,12.37
"Bangladesh",27.29,16.57,44.93,35.3,44.39,57.88
"Russia",28.2,28.35,28.05,14.97,37.81,39
"Ethiopia",4.85,0.36,65.44,64.71,69.83,62.02
"Mexico",38.17,50.08,29.09,44.78,44.76,12.28
"Japan",20.86,43.67,9.96,11.43,16.97,5.09
"Philippines",46.86,39.99,54.92,51.21,54.98,58.84
"Egypt",17.76,10.74,29.38,11.85,46.04,46.49
"DR Congo",9.73,1.37,69.11,70.92,67.21,69.24
"Iran",19.72,12.49,31.12,19.92,26.08,57.99
"Turkey",16.17,8.9,29.38,12.63,41.34,48.58
"Germany",4.3,1.99,9.28,7.02,35.42,3.21
"Thailand",21.09,14.32,31.07,16.01,38.38,48.79
"Tanzania",16.08,5.49,47.09,33.66,56.18,55.22
"United Kingdom",5.66,2.58,12.43,6.76,37.4,7.59
"France",7.39,2.7,20.23,8.46,33.29,29.38
"South Africa",9.14,3.13,26.7,29.12,50.97,12.83
"Italy",9.97,8.69,11.43,7.96,35.77,5.25
"Kenya",13.71,3.27,57.52,58.22,56.55,57.81
"Myanmar",36.16,22.43,58.28,52.14,64.54,58.83
"Colombia",37.64,31.54,44.93,39.65,45.75,50.01
"South Korea",10.84,9.96,11.79,8.71,23.43,8.04
"Uganda",2.8,0.23,34.19,50.05,57.99,13.77
"Sudan",10.27,1.65,63.91,60.01,68.36,63.64
"Spain",9.64,7.77,11.97,6.97,33.35,7.38
"Iraq",9.23,1.72,49.55,36.65,49.85,66.59
"Algeria",9.52,2.62,34.61,18.06,46.2,49.69
"Argentina",14.88,11.54,19.18,13.98,46.93,10.76
"Afghanistan",4.02,0.25,64.59,56.02,61.52,78.19
"Poland",4.22,1.73,10.28,5.2,40.15,5.21
"Canada",19.17,25.89,14.2,10.29,35.48,7.84
"Morocco",9.96,7.63,12.99,14.98,12.17,12.02
"Ukraine",4.02,0.48,33.63,18.78,48.11,42.11
"Angola",11.04,2.37,51.44,33.47,69.87,58.21
"Saudi Arabia",8.76,5.25,14.63,5.43,29.16,19.79
"Uzbekistan",1.52,0.18,12.83,10.26,18.86,10.92
"Yemen",24.39,9.12,65.24,60.26,66.5,69.29
"Mozambique",34.61,18.1,66.17,65.78,68.65,64.15
"Ghana",2.99,0.34,26.34,28.76,52.22,12.17
"Peru",25.55,16.65,39.22,27.28,47.1,46.96
"Malaysia",14.04,8.64,22.83,15.9,37.42,20.01
"Nepal",2.57,0.25,26.35,27.73,50.73,13.01
"Madagascar",23.59,18.38,30.27,25.97,69.94,15.27
"Ivory Coast",1.86,0.13,26.59,24.41,59.13,13.03
"Venezuela",23.47,19.52,28.22,25.04,61.45,14.6
"Cameroon",11.15,2.08,59.74,58.44,59.29,61.53
"Niger",2.16,0.07,66.49,68.67,63.1,67.85
"Australia",21.54,31.21,14.87,8.12,27.85,14.54
"Syria",12.24,2.53,59.2,48.72,59.7,71.32
"Mali",2.31,0.64,8.31,6.98,39.5,2.08
"Burkina Faso",2.01,0.07,57.64,47.61,65.44,61.45
"Sri Lanka",5.92,1.6,21.88,18.92,45.75,12.1
"Malawi",3.17,0.35,28.64,25.65,65.31,14.03
"Zambia",2.94,0.81,10.65,9.74,48.87,2.54
"Kazakhstan",2.15,0.25,18.43,15.1,40.93,10.13
"Chile",14.06,12.86,15.37,9.97,40.3,9.04
"Romania",3.33,0.71,15.6,9.25,47.28,8.68
"Chad",2.9,0.12,70.25,70.25,70.33,70.16
"Somalia",25.09,8.55,73.63,67.49,72.02,82.11
"Ecuador",23.58,14.57,38.15,26.41,47.6,44.16
"Guatemala",11.71,4.29,31.99,40.45,56.33,14.37
"Senegal",5.49,1.05,28.66,30.6,59.16,13
"Netherlands",4.32,2.2,8.47,5.6,33.07,3.28
"Cambodia",8.19,2.47,27.18,29.66,49.62,13.65
"Zimbabwe",2.52,0.2,31.73,31.54,68.08,14.88
"Guinea",6.86,1.47,32.02,31.77,70.72,14.61
"Rwanda",2.69,0.5,14.47,12.33,45.2,5.44
"Benin",1.6,0.09,28.56,41.2,43.94,12.87
"Burundi",3.03,0.16,57.38,47.46,66.84,59.56
"Bolivia",2.98,0.35,25.3,28.14,42.71,13.47
"Tunisia",9.47,2.88,31.15,17.12,39.97,44.18
"Haiti",9.67,2.78,33.65,35.88,68.85,15.43
"Belgium",5.83,1.84,18.49,8.03,28.91,27.21
"Dominican Republic",12.92,7.05,23.68,22.87,48.86,11.88
"Jordan",3.65,0.57,23.33,13.73,46.26,19.98
"South Sudan",4.25,0.25,72.19,73.2,74.71,68.79
"Cuba",7.76,4.57,13.19,12.73,17.47,10.32
"Honduras",16.79,8.82,31.95,39.35,56.97,14.55
"Sweden",2.72,1.05,7.05,3.8,16.65,5.55
"Papua New Guinea",26.3,18.84,36.71,56.19,63.58,13.85
"Czech Republic",1.12,0.1,12.49,7.55,38.61,6.68
