,ISSUER_NAME,ISSUER_TICKER,ISSUER_CNTRY_DOMICILE_NAME,IVA_INDUSTRY,GICS_SUB_IND,IVA_COMPANY_RATING,INDUSTRY_ADJUSTED_SCORE,AGR_RATING,GOVERNANCE_SCORE
0,1&1 AG,1U1,Germany,Telecommunication Services,Wireless Telecommunication Services,BBB,5.6,Average Variance,7.1
1,11 88 0 Solutions AG,,Germany,,Diversified Support Services,,,Average Variance,
2,11 Bit Studios SA,,Poland,Software & Services,Interactive Home Entertainment,,,Average Variance,
3,13 Jul Plantaze ad Podgorica,PLAP,Montenegro,,,,,,
4,1Spatial PLC,SPA,United Kingdom,Software & Services,IT Consulting & Other Services,,,Above-Average Variance,
5,24Storage AB,,Sweden,Commercial Services & Supplies,Diversified Support Services,,,Above-Average Variance,
6,2CRSI SAI,,France,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",,,Average Variance,
7,2invest AG,2INV,Germany,Biotechnology,Biotechnology,,,,
8,3I GROUP PLC,III,United Kingdom,Asset Management & Custody Banks,Asset Management & Custody Banks,AAA,9.7,Average Variance,9.0
9,3U Holding AG,UUU,Germany,Industrial Conglomerates,Industrial Conglomerates,,,Above-Average Variance,
10,450 PLC,,United Kingdom,,Asset Management & Custody Banks,,,Average Variance,
11,4Basebio PLC,,United Kingdom,Biotechnology,Biotechnology,,,Average Variance,
12,4C Group AB,,Sweden,Software & Services,Application Software,,,Average Variance,
13,4Global PLC,,United Kingdom,,Application Software,,,Above-Average Variance,
14,4Sc AG,VSC,Germany,Biotechnology,Biotechnology,,,,
15,4finance Holding S.A.,TIRNA,Luxembourg,Consumer Finance,,B,2.6,,2.3
16,4iG Nyilvanosan Mukodo Reszvenytarsasag,4IG,Hungary,Software & Services,IT Consulting & Other Services,,,Above-Average Variance,
17,4imprint Group PLC,FOUR,United Kingdom,Media & Entertainment,Advertising,AA,8.0,Low Variance,9.7
18,50Hertz Transmission GmbH,ELI,Germany,Utilities,,AAA,9.3,,7.5
19,5Th Planet Games A/S,,Denmark,,Interactive Home Entertainment,,,Average Variance,
20,7C Solarparken AG,,Germany,Utilities,Renewable Electricity,,,High Variance,
21,A Tsokkos Hotels Public Ltd,TSH,Cyprus,Hotels & Travel,"Hotels, Resorts & Cruise Lines",,,High Variance,
22,A.G. BARR P.L.C.,BAG,United Kingdom,Beverages,Soft Drinks & Non-alcoholic Beverages,AA,7.6,Low Variance,8.4
23,A.P. MOELLER - MAERSK A/S,MAERSK B,Denmark,Marine Transport,Marine Transportation,AA,7.6,High Variance,8.0
24,A.S. Creation Tapeten AG,ACWN,Germany,Household Durables,Home Furnishings,,,Average Variance,
25,A2A S.P.A.,A2A,Italy,Utilities,Multi-Utilities,BBB,5.6,Average Variance,7.0
26,A2DOMINION HOUSING GROUP LIMITED,ADOHG,United Kingdom,Real Estate Management & Services,,A,7.0,,7.8
27,AA LIMITED,BASIN,United Kingdom,Diversified Consumer Services,Specialized Consumer Services,AA,8.2,,6.1
28,AAC Clyde Space AB,,Sweden,,Aerospace & Defense,,,Above-Average Variance,
29,AAK AB (publ),AAK,Sweden,Food Products,Packaged Foods & Meats,AA,7.6,Average Variance,7.1
30,AALBORG BOLDSPILKLUB A/S,AAB,Denmark,Hotels & Travel,Leisure Facilities,,,Average Variance,
31,AASEN SPAREBANK,,Norway,,Regional Banks,,,Low Variance,
32,AB SPOLKA AKCYJNA,ABE,Poland,"Electronic Equipment, Instruments & Components",Technology Distributors,,,Average Variance,
33,AB Sagax,SAGA A,Sweden,Real Estate Management & Services,Real Estate Operating Companies,AA,8.1,Average Variance,6.2
34,AB Science SA,AB,France,Pharmaceuticals,Pharmaceuticals,,,High Variance,
35,AB Traction,TRAC B,Sweden,Asset Management & Custody Banks,Asset Management & Custody Banks,CCC,0.0,Average Variance,1.9
36,ABB Finance B.V.,ABBN,Netherlands,,,,,,
37,ABB Ltd,ABBN,Switzerland,Electrical Equipment,Electrical Components & Equipment,AAA,10.0,Average Variance,7.2
38,ABC Arbitrage SA,ABCA,France,Asset Management & Custody Banks,Specialized Finance,B,2.5,Average Variance,7.2
39,ABC COMPANY S.P.A. SOCIETA BENEFIT,,Italy,Professional Services,Research & Consulting Services,,,Above-Average Variance,
40,ABCAM LIMITED,ABCZF,United Kingdom,Health Care Equipment & Supplies,Biotechnology,A,6.7,Above-Average Variance,8.5
41,ABG SUNDAL COLLIER HOLDING ASA,ABG,Norway,Investment Banking & Brokerage,Investment Banking & Brokerage,,,High Variance,
42,ABI SAB GROUP HOLDING LIMITED,ABI,United Kingdom,Beverages,,,,,
43,ABIVAX SA,ABVX,France,Biotechnology,Biotechnology,BBB,4.6,,6.9
44,ABL GROUP ASA,,Norway,Energy Equipment & Services,Oil & Gas Equipment & Services,,,Average Variance,
45,ABN AMRO Bank N.V.,ABN,Netherlands,Banks,Diversified Banks,A,6.7,Average Variance,6.1
46,ABOUT YOU Holding SE,YOU,Germany,Retail - Consumer Discretionary,Apparel Retail,A,6.5,Average Variance,7.8
47,ABPA HOLDINGS LIMITED,ABPSB,United Kingdom,Transportation Infrastructure,,AA,7.3,,5.7
48,ABRAU-DURSO PAO,ABRD,Russia,Beverages,Distillers & Vintners,,,Average Variance,
49,ABRDN PLC,ABDN,United Kingdom,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,7.5,,7.2
50,AC Immune SA,,Switzerland,Biotechnology,Biotechnology,,,High Variance,
51,AC SA,,Poland,Auto Components,Automotive Parts & Equipment,,,Above-Average Variance,
52,ACANTHE DEVELOPPEMENT SE,ACAN,France,Real Estate Management & Services,Office REITs,,,Average Variance,
53,ACCENT HOUSING LIMITED,ACCNT,United Kingdom,Real Estate Management & Services,,BBB,4.7,,7.8
54,ACCENTIS NV,ACCB,Belgium,Real Estate Management & Services,Real Estate Operating Companies,,,Average Variance,
55,ACCENTRO Real Estate AG,A4Y,Germany,Real Estate Development & Diversified Activities,Real Estate Services,,,High Variance,
56,ACCENTURE PUBLIC LIMITED COMPANY,ACN,Ireland,Software & Services,IT Consulting & Other Services,AA,7.4,Average Variance,6.5
57,ACCESS INTELLIGENCE PLC,ACC,United Kingdom,Software & Services,Application Software,,,Average Variance,
58,ACCOR SA,AC,France,Hotels & Travel,"Hotels, Resorts & Cruise Lines",A,6.9,Above-Average Variance,7.1
59,ACEA S.P.A.,ACE,Italy,Utilities,Multi-Utilities,A,6.4,Above-Average Variance,7.5
60,ACI dd,ACI-R-A,Croatia,Hotels & Travel,Leisure Facilities,,,Above-Average Variance,
61,ACKERMANS & VAN HAAREN NV,ACKB,Belgium,Construction & Engineering,Construction & Engineering,BBB,5.2,Above-Average Variance,5.7
62,ACOMO N.V.,ACOMO,Netherlands,Retail - Food & Staples,Food Distributors,,,Low Variance,
63,ACROUD AB,ACROUD,Sweden,Casinos & Gaming,Casinos & Gaming,,,High Variance,
64,"ACS Servicios, Comunicaciones y Energia, S.A.",,Spain,,,,,,
65,"ACS, Actividades de Construccion y Servicios, S.A.",ACS,Spain,Construction & Engineering,Construction & Engineering,AA,8.1,Low Variance,7.6
66,ACTION SPOLKA AKCYJNA,ACT,Poland,"Electronic Equipment, Instruments & Components",Technology Distributors,,,Low Variance,
67,ACTIVE ENERGY GROUP PLC,AEG,United Kingdom,Metals and Mining - Non-Precious Metals,Coal & Consumable Fuels,,,High Variance,
68,AD Plastik dd,ADPL-R-A,Croatia,Auto Components,Automotive Parts & Equipment,,,Above-Average Variance,
69,ADC Therapeutics SA,,Switzerland,Biotechnology,Biotechnology,,,Above-Average Variance,
70,ADDvise Group AB (publ),ADDV A,Sweden,Health Care Equipment & Supplies,Health Care Equipment,,,Average Variance,
71,ADECOAGRO S.A.,AGRO,Luxembourg,Food Products,Packaged Foods & Meats,AA,7.6,Average Variance,7.2
72,ADEVINTA ASA,ADE,Norway,Interactive Media & Services,Interactive Media & Services,BBB,5.6,High Variance,6.7
73,ADIDAS AG,ADS,Germany,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",AAA,8.7,Above-Average Variance,7.3
74,ADIENT PUBLIC LIMITED COMPANY,ADNT,Ireland,Auto Components,Automotive Parts & Equipment,BB,3.6,Average Variance,7.8
75,ADLER Group S.A.,ADJ,Luxembourg,Real Estate Management & Services,Real Estate Operating Companies,BB,3.5,Above-Average Variance,6.4
76,ADLER Real Estate GmbH,ADLG,Germany,Real Estate Management & Services,Real Estate Operating Companies,B,2.6,,3.9
77,ADM Hamburg Aktiengesellschaft,OEL,Germany,Food Products,Agricultural Products & Services,,,,
78,ADMIRAL GROUP PLC,ADM,United Kingdom,Property & Casualty Insurance,Property & Casualty Insurance,AA,8.3,Above-Average Variance,8.6
79,ADRIS GRUPA d.d.,ADRS-R-A,Croatia,Industrial Conglomerates,Industrial Conglomerates,,,Above-Average Variance,
80,ADUX SA,ADUX,France,Media & Entertainment,Advertising,,,Above-Average Variance,
81,ADVANCED MEDICAL SOLUTIONS GROUP PLC,AMS,United Kingdom,Health Care Equipment & Supplies,Health Care Supplies,AA,7.9,Average Variance,8.6
82,ADVFN PLC,AFN,United Kingdom,Diversified Financials,Financial Exchanges & Data,,,Average Variance,
83,ADVINI SA,ALAVI,France,Beverages,Distillers & Vintners,,,Above-Average Variance,
84,"AEDAS HOMES, S.A.",AEDAS,Spain,Real Estate Development & Diversified Activities,Real Estate Development,A,5.8,Low Variance,8.1
85,AEDIFICA NV,AED,Belgium,Real Estate Management & Services,Health Care REITs,A,6.5,Low Variance,8.6
86,AEGEAN AIRLINES S.A.,AEGN,Greece,Airlines,Passenger Airlines,,,Average Variance,4.0
87,AEROFLOT-ROSSIYSKIYE AVIALINII PAO,AFLT,Russia,Airlines,Passenger Airlines,,,,
88,AEROPORTI DI ROMA S.P.A.,ATL,Italy,Transportation Infrastructure,,A,6.9,,8.4
89,AEROPORTS DE PARIS SA,ADP,France,Transportation Infrastructure,Airport Services,AA,8.4,High Variance,6.3
90,AEROSTAR SA,ARS,Romania,Aerospace & Defense,Aerospace & Defense,,,Average Variance,
91,AEVIS VICTORIA SA,AEVS,Switzerland,Health Care Providers & Services,Health Care Facilities,,,,
92,AEW UK REIT PLC,AEWU,United Kingdom,Real Estate Management & Services,Diversified REITs,,,High Variance,
93,AF GRUPPEN ASA,AFG,Norway,Construction & Engineering,Construction & Engineering,,,Above-Average Variance,
94,AFC Ajax NV,AJAX,Netherlands,Media & Entertainment,Movies & Entertainment,,,High Variance,
95,AFC ENERGY PLC,AFC,United Kingdom,Electrical Equipment,Electrical Components & Equipment,BB,3.1,Above-Average Variance,8.0
96,AFENTRA PLC,AET,United Kingdom,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,,,Low Variance,
97,AFFINITY WATER LIMITED,AFFIY,United Kingdom,Utilities,,A,7.0,,9.3
98,AFK SISTEMA PAO,AFKS,Russia,Telecommunication Services,Wireless Telecommunication Services,,,Above-Average Variance,
99,AFORTI HOLDING SPOLKA AKCYJNA,,Poland,,Specialized Finance,,,Average Variance,
100,AFRY AB,AFRY,Sweden,Professional Services,Research & Consulting Services,A,6.6,Average Variance,6.2
101,AFRY Group Finland Oy,AFX,Finland,Professional Services,Research & Consulting Services,,,,
102,AFYREN SA,,France,Commodity Chemicals,Commodity Chemicals,,,Low Variance,
103,AGATOS S.P.A.,,Italy,,Construction & Engineering,,,High Variance,
104,AGEAS SA,AGS,Belgium,Multi-Line Insurance & Brokerage,Multi-line Insurance,AA,7.9,Average Variance,8.7
105,AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,AFD,France,Supranationals & Development Banks,,AAA,8.8,,
106,AGENZIA NAZIONALE PER L'ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D'IMPRESA S.P.A.,MNECF,Italy,Professional Services,,BB,4.1,,6.5
107,AGES Industri AB,,Sweden,Industrial Machinery,Industrial Machinery & Supplies & Components,,,Low Variance,
108,AGFA-GEVAERT NV,AGFB,Belgium,Health Care Technology,Health Care Technology,A,6.5,High Variance,6.7
109,AGILYX ASA,,Norway,Commercial Services & Supplies,Environmental & Facilities Services,,,High Variance,
110,AGRAM BANKA d.d.,KBZ-R-A,Croatia,Banks,Diversified Banks,,,Average Variance,
111,AGRIA GROUP HOLDING JSC,AGH,Bulgaria,Industrial Conglomerates,Industrial Conglomerates,,,Above-Average Variance,
112,AGROGENERATION S.A.,,France,Food Products,Agricultural Products & Services,,,Above-Average Variance,
113,AGROLAND AGRIBUSINESS S.A.,,Romania,,,,,,
114,AGROSERV MARIUTA S.A.,,Romania,,Packaged Foods & Meats,,,,
