issuerId,ISSUER_NAME,ISSUER_TICKER,ISSUER_CNTRY_DOMICILE_NAME,ISSUER_CNTRY_DOMICILE,IVA_INDUSTRY,IVA_INDUSTRY_CODE,GICS_SUB_IND,IVA_COMPANY_RATING,INDUSTRY_ADJUSTED_SCORE,AGR_RATING,GOVERNANCE_SCORE,OVERALL_FLAG,ABORT_TIE,CONTRA_TIE,AE_TIE,ALC_TIE,FIREARM_TIE,GAM_TIE,NUC_TIE,TOB_TIE,WEAP_GTIE,CB_TIE,LM_TIE
IID000000002133120,AGRANA Beteiligungs-Aktiengesellschaft,AGR,Austria,AT,Food Products,12915,Packaged Foods & Meats,A,6.3,,5.9,Green,,,,true,,,,,,,
IID000000002140432,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS,Austria,AT,"Electronic Equipment, Instruments & Components",12911,Electronic Components,BBB,5.1,High Variance,7.4,Green,,,,,,,,,,,
IID000000005076664,AUSTRIACARD HOLDINGS AG,,Austria,AT,"Technology Hardware, Storage & Peripherals",12898,"Technology Hardware, Storage & Peripherals",,,Average Variance,,,,,,,,,,,,,
IID000000002762725,Addiko Bank AG,,Austria,AT,Banks,15698,Diversified Banks,,,Average Variance,,,,,,,,,,,,,
IID000000002157430,Andritz AG,ANDR,Austria,AT,Industrial Machinery,12924,Industrial Machinery & Supplies & Components,AA,8.1,Average Variance,8.3,Green,,,,,,,true,,,,
IID000000002227399,Autobahnen- und Schnellstrassen-Finanzierungs-Aktiengesellschaft,AUTFN,Austria,AT,Transportation Infrastructure,15355,,A,7.1,,7.4,Green,,,,,,,,,,,
IID000000002600608,BAWAG Group AG,BG,Austria,AT,Banks,15698,Diversified Banks,AAA,9.0,Low Variance,7.1,Green,,,,,,,,,,,
IID000000002153434,BKS Bank AG,BKS,Austria,AT,Banks,15698,Diversified Banks,A,6.0,Above-Average Variance,6.9,Yellow,,,,,,,,,,,
IID000000002159109,Bank fuer Tirol und Vorarlberg Aktiengesellschaft,BTS,Austria,AT,Banks,15698,Diversified Banks,BBB,4.3,High Variance,7.2,Green,,,,true,,,,,,,
IID000000002418273,Borealis AG,OMVV,Austria,AT,Commodity Chemicals,12896,,,,Average Variance,,Green,,,,,,,,,,,
IID000000002160396,CA Immobilien Anlagen Aktiengesellschaft,CAI,Austria,AT,Real Estate Management & Services,15699,Real Estate Operating Companies,A,6.5,Above-Average Variance,7.0,Green,,,,,,,,,,,
IID000000002128412,DO & CO Aktiengesellschaft,DOC,Austria,AT,Restaurants,15693,Diversified Support Services,BB,4.1,Average Variance,5.3,Green,,,,true,,,,,,,
IID000000002152607,EVN AG,EVN,Austria,AT,Utilities,15700,Electric Utilities,AA,7.8,Average Variance,7.7,Green,,,,,,,,,,,
IID000000002150936,Erste Group Bank AG,EBS,Austria,AT,Banks,15698,Diversified Banks,AA,7.6,Average Variance,8.3,Green,,,,,,,,,,,
IID000000002250374,FACC AG,FACC,Austria,AT,Aerospace & Defense,12882,Aerospace & Defense,,,Average Variance,,,,,,,,,,,,,
IID000000002151339,Fabasoft AG,FAA,Austria,AT,Software & Services,15356,Application Software,,,Low Variance,,,,,,,,,,,,,
IID000000002166735,Flughafen Wien Aktiengesellschaft,FLU,Austria,AT,Transportation Infrastructure,15355,Airport Services,,,Above-Average Variance,,,,,,true,,,,true,,,
IID000000002166957,Frauenthal Holding AG,FKA,Austria,AT,Trading Companies & Distributors,12951,Trading Companies & Distributors,,,Average Variance,,,,,,,,,,,,,
IID000000003052329,Frequentis AG,,Austria,AT,Aerospace & Defense,12882,Aerospace & Defense,,,Low Variance,,,,,,,,,,,true,,
IID000000002660897,Gurktaler AG,GAGS,Austria,AT,Beverages,15689,Distillers & Vintners,,,High Variance,,,,,,true,,,,,,,
IID000000002252427,HETA ASSET RESOLUTION AG i.A.,HETAA,Austria,AT,Banks,15698,Diversified Banks,CCC,0.2,,6.2,Green,,,,,,,,,,,
IID000000002229164,HYPO NOE Landesbank fuer Niederoesterreich und Wien AG,NOEHL,Austria,AT,Banks,15698,,,,,5.2,Green,,,,,,,,,,,
IID000000002205605,Hypo Vorarlberg Bank AG,VORAR,Austria,AT,Banks,15698,,BBB,4.5,Low Variance,5.9,Green,,,,,,,,,,,
IID000000002170284,IMMOFINANZ AG,IIA,Austria,AT,Real Estate Management & Services,15699,Real Estate Operating Companies,BBB,5.3,Average Variance,6.5,Green,,,,true,,,,true,,,
IID000000002214676,Josef Manner & Comp. Aktiengesellschaft,MAN,Austria,AT,Food Products,12915,Packaged Foods & Meats,,,Low Variance,,,,,,,,,,,,,
IID000000002172479,Kapsch TrafficCom AG,KTCG,Austria,AT,"Electronic Equipment, Instruments & Components",12911,Electronic Equipment & Instruments,,,Average Variance,,,,,,,,,,,,,
IID000000002573432,Kommunalkredit Austria AG,INRRU,Austria,AT,Banks,15698,,BB,3.6,,5.5,Green,,,,,,,,,,,
IID000000002167684,Kontron AG,KTN,Austria,AT,Software & Services,15356,IT Consulting & Other Services,BBB,5.7,Low Variance,7.5,Green,,,,,,true,,,,,
