issuerId,ISSUER_NAME,ISSUER_TICKER,ISSUER_CNTRY_DOMICILE_NAME,ISSUER_CNTRY_DOMICILE,IVA_INDUSTRY,IVA_INDUSTRY_CODE,GICS_SUB_IND,IVA_COMPANY_RATING,INDUSTRY_ADJUSTED_SCORE,AGR_RATING,GOVERNANCE_SCORE,OVERALL_FLAG,ABORT_TIE,CONTRA_TIE,AE_TIE,ALC_TIE,FIREARM_TIE,GAM_TIE,NUC_TIE,TOB_TIE,WEAP_GTIE,CB_TIE,LM_TIE
IID000000002132276,1&1 AG,1U1,Germany,DE,Telecommunication Services,15705,Wireless Telecommunication Services,BBB,5.6,Average Variance,7.1,Green,,,,,,,,,,,
IID000000005004787,11 88 0 Solutions AG,,Germany,DE,,,Diversified Support Services,,,Average Variance,,,,,,,,,,,,,
IID000000002603421,11 Bit Studios SA,,Poland,PL,Software & Services,15356,Interactive Home Entertainment,,,Average Variance,,,,,,,,,,,,,
IID000000002587800,13 Jul Plantaze ad Podgorica,PLAP,Montenegro,ME,,,,,,,,,,,,true,,,,,,,
IID000000002840871,1414 Degrees Ltd,,Australia,AU,Electrical Equipment,12910,Electrical Components & Equipment,,,High Variance,,,,,,,,,,,,,
IID000000002190226,1Spatial PLC,SPA,United Kingdom,GB,Software & Services,15356,IT Consulting & Other Services,,,Above-Average Variance,,,,,,,,,,,,,
IID000000005009703,24Storage AB,,Sweden,SE,Commercial Services & Supplies,12895,Diversified Support Services,,,Above-Average Variance,,,,,,,,,,,,,
IID000000005043998,29METALS LIMITED,29M,Australia,AU,Metals and Mining - Non-Precious Metals,15679,Diversified Metals & Mining,BBB,5.7,Average Variance,8.3,Green,,,,,,,,,,,
IID000000002845616,2CRSI SAI,,France,FR,"Technology Hardware, Storage & Peripherals",12898,"Technology Hardware, Storage & Peripherals",,,Average Variance,,,,,,,,,,,,,
IID000000002128463,2invest AG,2INV,Germany,DE,Biotechnology,12892,Biotechnology,,,,,,,,,,,,,,,,
IID000000002124936,333D Ltd,T3D,Australia,AU,Beverages,15689,Commercial Printing,,,Above-Average Variance,,,,,,,,,,,,,
IID000000002203009,360 CAPITAL GROUP LIMITED,TGP,Australia,AU,Asset Management & Custody Banks,15576,Asset Management & Custody Banks,,,Above-Average Variance,,,,,,,,,,,,,
IID000000002133407,3D Energi Ltd,TDO,Australia,AU,Oil & Gas Exploration & Production,12936,Oil & Gas Exploration & Production,,,Average Variance,,,,,,,,,,,,,
IID000000002128337,3I GROUP PLC,III,United Kingdom,GB,Asset Management & Custody Banks,15576,Asset Management & Custody Banks,AAA,9.7,Average Variance,9.0,Green,,,,,,,,,,,
IID000000002704354,3P Learning Ltd,3PL,Australia,AU,Diversified Consumer Services,14519,Education Services,,,Average Variance,,,,,,,,,,,,,
IID000000002145673,3U Holding AG,UUU,Germany,DE,Industrial Conglomerates,12923,Industrial Conglomerates,,,Above-Average Variance,,,,,,,,,,,,,
IID000000002816386,450 PLC,,United Kingdom,GB,,,Asset Management & Custody Banks,,,Average Variance,,,,,,,,,,,,,
